fib_number	run_time	
10  3.94028e-08
11  4.46702e-08
12  4.80115e-08
13  5.29143e-08
14  5.50729e-08
15  6.06076e-08
16  6.22513e-08
17  6.79648e-08
18  7.08557e-08
19  7.60733e-08
20  8.13275e-08
21  8.69507e-08
22  9.02082e-08
23  9.42552e-08
24  9.40747e-08
25  1.01357e-07
26  1.07311e-07
27  1.0979e-07
28  1.14146e-07
29  1.20213e-07
30  1.22074e-07
31  1.26373e-07
32  1.31985e-07
33  1.46298e-07
34  1.41767e-07
35  1.44109e-07
36  1.47879e-07
37  1.55958e-07
38  1.71275e-07
39  1.70903e-07
40  1.75473e-07

